insee_com,lib_com,niveau_ruralite
02010,Allemant, Les ruralités résidentielles mixtes
02011,Ambleny, Les ruralités résidentielles mixtes
02012,Ambrief, Les ruralités résidentielles aisées
02013,Amifontaine, Les ruralités résidentielles mixtes
02014,Amigny-Rouy, Les ruralités résidentielles mixtes
02015,Ancienville, Les ruralités résidentielles aisées
02016,Andelain, Les ruralités résidentielles aisées
02017,Anguilcourt-le-Sart, Les ruralités résidentielles aisées
02018,Anizy-le-Grand, Les petites polarités mixtes
02019,Annois, Les ruralités productives ouvrières
02020,Any-Martin-Rieux, Les ruralités résidentielles mixtes
02021,Archon, Les ruralités touristiques à dominante résidentielle
02022,Arcy-Sainte-Restitue, Les ruralités productives ouvrières
02023,Armentières-sur-Ourcq, Les ruralités productives ouvrières
02024,Arrancy, Les ruralités productives ouvrières
02025,Artemps, Les ruralités productives ouvrières
02027,Assis-sur-Serre, Les ruralités productives ouvrières
02028,Athies-sous-Laon, Les ruralités résidentielles mixtes
02029,Attilly, Les ruralités productives ouvrières
02030,Aubencheul-aux-Bois, Les ruralités productives ouvrières
02031,Aubenton, Les ruralités productives agricoles
02032,Aubigny-aux-Kaisnes, Les petites polarités industrielles et artisanales
02033,Aubigny-en-Laonnois, Les ruralités productives ouvrières
02034,Audignicourt, Les ruralités productives ouvrières
02035,Audigny, Les ruralités résidentielles mixtes
02036,Augy, Les petites polarités mixtes
02037,Aulnois-sous-Laon, Les petites polarités mixtes
02038,Les Autels, Les ruralités productives agricoles
02039,Autremencourt, Les petites polarités mixtes
02040,Autreppes, Les ruralités productives ouvrières
02041,Autreville, Les ruralités résidentielles mixtes
02042,Azy-sur-Marne, Les ruralités résidentielles aisées
02043,Bagneux, Les ruralités productives ouvrières
02044,Bancigny, Les petites polarités mixtes
02046,Barenton-Bugny, Les ruralités résidentielles mixtes
02047,Barenton-Cel, Les ruralités résidentielles mixtes
02048,Barenton-sur-Serre, Les ruralités productives ouvrières
02049,Barisis-aux-Bois, Les ruralités productives ouvrières
02050,Barzy-en-Thiérache, Les ruralités productives ouvrières
02051,Barzy-sur-Marne, Les ruralités productives agricoles
02052,Bassoles-Aulers, Les ruralités résidentielles mixtes
02053,Vallées en Champagne, Les ruralités productives agricoles
02054,Bazoches-et-Saint-Thibaut, Commune dont le périmètre a changé depuis la réalisation de la typologie
02055,Beaumé, Les ruralités productives agricoles
02056,Beaumont-en-Beine, Les ruralités productives ouvrières
02057,Beaurevoir, Les petites polarités mixtes
02058,Beaurieux, Les petites polarités mixtes
02059,Beautor, Hors champ : DOM ou commune urbaine
02060,Beauvois-en-Vermandois, Les ruralités productives ouvrières
02061,Becquigny, Les ruralités productives ouvrières
02062,Belleau, Les ruralités productives ouvrières
02063,Bellenglise, Les ruralités productives ouvrières
02064,Belleu, Hors champ : DOM ou commune urbaine
02065,Bellicourt, Les petites polarités mixtes
02066,Benay, Les ruralités productives ouvrières
02067,Bergues-sur-Sambre, Les ruralités productives ouvrières
02068,Berlancourt, Les ruralités résidentielles mixtes
02069,Berlise, Les ruralités productives ouvrières
02070,Bernot, Les ruralités productives ouvrières
02071,Berny-Rivière, Les ruralités touristiques spécialisées
02072,Berrieux, Les ruralités résidentielles mixtes
02073,Berry-au-Bac, Les petites polarités industrielles et artisanales
02074,Bertaucourt-Epourdon, Les ruralités résidentielles mixtes
02075,Berthenicourt, Les ruralités productives ouvrières
02076,Bertricourt, Les ruralités résidentielles aisées
02078,Besmé, Les ruralités productives ouvrières
02079,Besmont, Les ruralités productives agricoles
02080,Besny-et-Loizy, Les ruralités résidentielles aisées
02081,Béthancourt-en-Vaux, Les ruralités résidentielles mixtes
02082,Beugneux, Les ruralités productives agricoles
02083,Beuvardes, Les petites polarités mixtes
02084,Bézu-le-Guéry, Les ruralités productives ouvrières
