insee_com,lib_com,niveau_densite
01412,Sulignat,Rural à habitat dispersé
01415,Talissieu,Rural à habitat dispersé
01416,Tenay,Bourgs ruraux
01418,Thil,Bourgs ruraux
01419,Thoiry,Ceintures urbaines
01420,Thoissey,Bourgs ruraux
01421,Torcieu,Rural à habitat dispersé
01422,Tossiat,Bourgs ruraux
01423,Toussieux,Ceintures urbaines
01424,Tramoyes,Bourgs ruraux
01425,La Tranclière,Rural à habitat dispersé
01426,Val-Revermont,Rural à habitat dispersé
01427,Trévoux,Ceintures urbaines
01428,Valeins,Rural à habitat dispersé
01429,Vandeins,Rural à habitat dispersé
01430,Varambon,Rural à habitat dispersé
01431,Vaux-en-Bugey,Ceintures urbaines
01432,Verjon,Rural à habitat dispersé
01433,Vernoux,Rural à habitat dispersé
01434,Versailleux,Rural à habitat dispersé
01435,Versonnex,Ceintures urbaines
01436,Vesancy,Ceintures urbaines
01437,Vescours,Rural à habitat très dispersé
01439,Vésines,Rural à habitat dispersé
01441,Vieu-d'Izenave,Rural à habitat dispersé
01443,Villars-les-Dombes,Bourgs ruraux
01444,Villebois,Rural à habitat dispersé
01445,Villemotier,Rural à habitat dispersé
01446,Villeneuve,Bourgs ruraux
01447,Villereversure,Rural à habitat dispersé
01448,Villes,Rural à habitat dispersé
01449,Villette-sur-Ain,Bourgs ruraux
01450,Villieu-Loyes-Mollon,Ceintures urbaines
01451,Viriat,Ceintures urbaines
01452,Virieu-le-Grand,Rural à habitat dispersé
01453,Arvière-en-Valromey,Rural à habitat dispersé
01454,Virignin,Bourgs ruraux
01456,Vongnes,Rural à habitat dispersé
01457,Vonnas,Bourgs ruraux
02001,Abbécourt,Ceintures urbaines
02002,Achery,Rural à habitat dispersé
02003,Acy,Bourgs ruraux
02004,Agnicourt-et-Séchelles,Rural à habitat dispersé
02005,Aguilcourt,Rural à habitat dispersé
02006,Aisonville-et-Bernoville,Rural à habitat dispersé
02007,Aizelles,Rural à habitat dispersé
02008,Aizy-Jouy,Rural à habitat dispersé
02009,Alaincourt,Bourgs ruraux
02010,Allemant,Rural à habitat dispersé
02011,Ambleny,Bourgs ruraux
02012,Ambrief,Rural à habitat dispersé
02013,Amifontaine,Rural à habitat dispersé
02014,Amigny-Rouy,Bourgs ruraux
02015,Ancienville,Rural à habitat dispersé
02016,Andelain,Rural à habitat dispersé
02017,Anguilcourt-le-Sart,Rural à habitat dispersé
02018,Anizy-le-Grand,Bourgs ruraux
02019,Annois,Rural à habitat dispersé
02020,Any-Martin-Rieux,Rural à habitat dispersé
02021,Archon,Rural à habitat dispersé
02022,Arcy-Sainte-Restitue,Rural à habitat dispersé
02023,Armentières-sur-Ourcq,Rural à habitat dispersé
02024,Arrancy,Rural à habitat très dispersé
02025,Artemps,Rural à habitat dispersé
02027,Assis-sur-Serre,Rural à habitat dispersé
02028,Athies-sous-Laon,Bourgs ruraux
02029,Attilly,Rural à habitat dispersé
02030,Aubencheul-aux-Bois,Rural à habitat dispersé
02031,Aubenton,Rural à habitat dispersé
02032,Aubigny-aux-Kaisnes,Rural à habitat dispersé
02033,Aubigny-en-Laonnois,Rural à habitat dispersé
02034,Audignicourt,Rural à habitat dispersé
02035,Audigny,Rural à habitat dispersé
02036,Augy,Rural à habitat dispersé
02037,Aulnois-sous-Laon,Bourgs ruraux
02038,Les Autels,Rural à habitat très dispersé
02039,Autremencourt,Rural à habitat dispersé
02040,Autreppes,Rural à habitat dispersé
02041,Autreville,Bourgs ruraux
02042,Azy-sur-Marne,Rural à habitat dispersé
02043,Bagneux,Rural à habitat dispersé
02044,Bancigny,Rural à habitat très dispersé
02046,Barenton-Bugny,Rural à habitat dispersé
02047,Barenton-Cel,Rural à habitat dispersé
02048,Barenton-sur-Serre,Rural à habitat dispersé
02049,Barisis-aux-Bois,Bourgs ruraux
02050,Barzy-en-Thiérache,Rural à habitat dispersé
02051,Barzy-sur-Marne,Rural à habitat dispersé
02052,Bassoles-Aulers,Rural à habitat dispersé
02053,Vallées en Champagne,Rural à habitat très dispersé
02054,Bazoches-et-Saint-Thibaut,Rural à habitat dispersé
02055,Beaumé,Rural à habitat très dispersé
02056,Beaumont-en-Beine,Rural à habitat dispersé
02057,Beaurevoir,Bourgs ruraux
02058,Beaurieux,Rural à habitat dispersé
02059,Beautor,Ceintures urbaines
02060,Beauvois-en-Vermandois,Rural à habitat dispersé
02061,Becquigny,Rural à habitat dispersé
02062,Belleau,Rural à habitat dispersé
02063,Bellenglise,Rural à habitat dispersé
02064,Belleu,Centres urbains intermédiaires
02065,Bellicourt,Bourgs ruraux
02066,Benay,Rural à habitat dispersé
02067,Bergues-sur-Sambre,Rural à habitat dispersé
02068,Berlancourt,Rural à habitat très dispersé
02069,Berlise,Rural à habitat très dispersé
02070,Bernot,Rural à habitat dispersé
02071,Berny-Rivière,Rural à habitat dispersé
02072,Berrieux,Rural à habitat dispersé
02073,Berry-au-Bac,Rural à habitat dispersé
02074,Bertaucourt-Epourdon,Rural à habitat dispersé
02075,Berthenicourt,Bourgs ruraux
02076,Bertricourt,Rural à habitat dispersé
02078,Besmé,Rural à habitat dispersé
02079,Besmont,Rural à habitat très dispersé
02080,Besny-et-Loizy,Rural à habitat dispersé
02081,Béthancourt-en-Vaux,Rural à habitat dispersé
02082,Beugneux,Rural à habitat très dispersé
02083,Beuvardes,Rural à habitat dispersé
02084,Bézu-le-Guéry,Rural à habitat dispersé
02085,Bézu-Saint-Germain,Bourgs ruraux
02086,Bichancourt,Bourgs ruraux
02087,Bieuxy,Rural à habitat très dispersé
02088,Bièvres,Rural à habitat dispersé
02089,Billy-sur-Aisne,Bourgs ruraux
02090,Billy-sur-Ourcq,Rural à habitat dispersé
02091,Blanzy-lès-Fismes,Rural à habitat dispersé
02093,Blérancourt,Bourgs ruraux
02094,Blesmes,Ceintures urbaines
02095,Bohain-en-Vermandois,Petites villes
02096,Bois-lès-Pargny,Rural à habitat dispersé
02097,Boncourt,Rural à habitat dispersé
02098,Bonneil,Rural à habitat dispersé
02099,Bonnesvalyn,Rural à habitat dispersé
02100,Bony,Rural à habitat dispersé
02101,Bosmont-sur-Serre,Rural à habitat dispersé
02102,Bouconville-Vauclair,Rural à habitat dispersé
02103,Boué,Bourgs ruraux
02104,Bouffignereux,Rural à habitat dispersé
02105,Bouresches,Rural à habitat dispersé
02106,Bourg-et-Comin,Bourgs ruraux
02107,Bourguignon-sous-Coucy,Rural à habitat dispersé
02108,Bourguignon-sous-Montbavin,Rural à habitat dispersé
02109,La Bouteille,Rural à habitat très dispersé
02110,Braine,Bourgs ruraux
02111,Brancourt-en-Laonnois,Rural à habitat dispersé
02112,Brancourt-le-Grand,Rural à habitat dispersé
02114,Brasles,Ceintures urbaines
02115,Braye-en-Laonnois,Rural à habitat dispersé
02116,Braye-en-Thiérache,Rural à habitat dispersé
02117,Bray-Saint-Christophe,Rural à habitat très dispersé
02118,Braye,Rural à habitat dispersé
02119,Brécy,Rural à habitat dispersé
02120,Brenelle,Rural à habitat dispersé
02121,Breny,Rural à habitat dispersé
02122,Brie,Rural à habitat très dispersé
02123,Brissay-Choigny,Rural à habitat dispersé
02124,Brissy-Hamégicourt,Bourgs ruraux
02125,Brumetz,Rural à habitat dispersé
02126,Brunehamel,Rural à habitat dispersé
02127,Bruyères-sur-Fère,Rural à habitat dispersé
02128,Bruyères-et-Montbérault,Bourgs ruraux
02129,Bruys,Rural à habitat très dispersé
02130,Bucilly,Rural à habitat dispersé
02131,Bucy-le-Long,Bourgs ruraux
02132,Bucy-lès-Cerny,Rural à habitat dispersé
02133,Bucy-lès-Pierrepont,Rural à habitat dispersé
02134,Buire,Petites villes
02135,Buironfosse,Bourgs ruraux
02136,Burelles,Rural à habitat dispersé
02137,Bussiares,Rural à habitat dispersé
02138,Buzancy,Rural à habitat dispersé
02139,Caillouël-Crépigny,Rural à habitat dispersé
02140,Camelin,Rural à habitat dispersé
02141,La Capelle,Bourgs ruraux
02142,Castres,Rural à habitat dispersé
02143,Le Catelet,Rural à habitat dispersé
02144,Caulaincourt,Rural à habitat dispersé
02145,Caumont,Rural à habitat dispersé
02146,Celles-lès-Condé,Rural à habitat dispersé
02148,Celles-sur-Aisne,Rural à habitat dispersé
02149,Cerizy,Rural à habitat très dispersé
02150,Cerny-en-Laonnois,Rural à habitat dispersé
02151,Cerny-lès-Bucy,Rural à habitat dispersé
02152,Cerseuil,Rural à habitat très dispersé
02153,Cessières-Suzy,Rural à habitat dispersé
02154,Chacrise,Rural à habitat dispersé
02155,Chaillevois,Rural à habitat dispersé
02156,Chalandry,Rural à habitat dispersé
02157,Chambry,Ceintures urbaines
02158,Chamouille,Rural à habitat dispersé
02159,Champs,Rural à habitat dispersé
02160,Chaourse,Rural à habitat dispersé
02162,La Chapelle-sur-Chézy,Rural à habitat dispersé
02163,Charly-sur-Marne,Petites villes
02164,Le Charmel,Rural à habitat dispersé
02165,Charmes,Ceintures urbaines
02166,Chartèves,Rural à habitat dispersé
02167,Chassemy,Bourgs ruraux
02168,Château-Thierry,Centres urbains intermédiaires
02169,Châtillon-lès-Sons,Rural à habitat dispersé
02170,Châtillon-sur-Oise,Rural à habitat dispersé
02171,Chaudardes,Rural à habitat dispersé
02172,Chaudun,Rural à habitat dispersé
02173,Chauny,Centres urbains intermédiaires
02174,Chavignon,Rural à habitat dispersé
02175,Chavigny,Rural à habitat dispersé
02176,Chavonne,Rural à habitat dispersé
02177,Chérêt,Rural à habitat dispersé
02178,Chermizy-Ailles,Rural à habitat dispersé
02179,Chéry-Chartreuve,Rural à habitat dispersé
02180,Chéry-lès-Pouilly,Rural à habitat dispersé
02181,Chéry-lès-Rozoy,Rural à habitat dispersé
02182,Chevennes,Rural à habitat dispersé
02183,Chevregny,Rural à habitat dispersé
02184,Chevresis-Monceau,Rural à habitat dispersé
02185,Chézy-en-Orxois,Rural à habitat dispersé
02186,Chézy-sur-Marne,Bourgs ruraux
02187,Chierry,Ceintures urbaines
02188,Chigny,Rural à habitat dispersé
02189,Chivres-en-Laonnois,Rural à habitat dispersé
02190,Chivres-Val,Bourgs ruraux
02191,Chivy-lès-Étouvelles,Rural à habitat dispersé
02192,Chouy,Rural à habitat dispersé
02193,Cierges,Rural à habitat dispersé
02194,Cilly,Rural à habitat dispersé
02195,Ciry-Salsogne,Rural à habitat dispersé
02196,Clacy-et-Thierret,Bourgs ruraux
02197,Clairfontaine,Rural à habitat dispersé
02198,Clamecy,Rural à habitat dispersé
02199,Clastres,Bourgs ruraux
02200,Clermont-les-Fermes,Rural à habitat dispersé
02201,Cœuvres-et-Valsery,Rural à habitat dispersé
02203,Coincy,Bourgs ruraux
02204,Coingt,Rural à habitat très dispersé
02205,Colligis-Crandelain,Rural à habitat dispersé
02206,Colonfay,Rural à habitat dispersé
02207,Commenchon,Rural à habitat dispersé
02208,Concevreux,Rural à habitat dispersé
02209,Condé-en-Brie,Rural à habitat dispersé
02210,Condé-sur-Aisne,Rural à habitat dispersé
02211,Condé-sur-Suippe,Rural à habitat dispersé
02212,Condren,Ceintures urbaines
02213,Connigis,Rural à habitat dispersé
02214,Contescourt,Rural à habitat très dispersé
02215,Corbeny,Bourgs ruraux
02216,Corcy,Rural à habitat dispersé
02217,Coucy-le-Château-Auffrique,Rural à habitat dispersé
02218,Coucy-lès-Eppes,Rural à habitat dispersé
02219,Coucy-la-Ville,Rural à habitat dispersé
02220,Coulonges-Cohan,Rural à habitat dispersé
02221,Coupru,Rural à habitat dispersé
02222,Courbes,Rural à habitat très dispersé
02223,Courboin,Rural à habitat très dispersé
