insee_com,lib_com,niveau_centralite
01367,Saint-Julien-sur-Reyssouze,Centre local d'équipements et de services
01368,Saint-Julien-sur-Veyle,Communes non centre
01369,Saint-Just,Centre local d'équipements et de services
01370,Saint-Laurent-sur-Saône,Centre local d'équipements et de services
01371,Saint-Marcel,Communes non centre
01372,Saint-Martin-de-Bavel,Communes non centre
01373,Saint-Martin-du-Frêne,Centre local d'équipements et de services
01374,Saint-Martin-du-Mont,Centre local d'équipements et de services
01375,Saint-Martin-le-Châtel,Communes non centre
01376,Saint-Maurice-de-Beynost,Centre intermédiaire d'équipements et de services
01378,Saint-Maurice-de-Gourdans,Centre local d'équipements et de services
01379,Saint-Maurice-de-Rémens,Communes non centre
01380,Saint-Nizier-le-Bouchoux,Communes non centre
01381,Saint-Nizier-le-Désert,Centre local d'équipements et de services
01382,Sainte-Olive,Communes non centre
01383,Saint-Paul-de-Varax,Centre local d'équipements et de services
01384,Saint-Rambert-en-Bugey,Centre local d'équipements et de services
01385,Saint-Rémy,Communes non centre
01386,Saint-Sorlin-en-Bugey,Centre local d'équipements et de services
01387,Saint-Sulpice,Communes non centre
01388,Saint-Trivier-de-Courtes,Centre intermédiaire d'équipements et de services
01389,Saint-Trivier-sur-Moignans,Centre local d'équipements et de services
01390,Saint-Vulbas,Centre local d'équipements et de services
01391,Salavre,Communes non centre
01392,Samognat,Communes non centre
01393,Sandrans,Communes non centre
01396,Sault-Brénaz,Centre local d'équipements et de services
01397,Sauverny,Communes non centre
01398,Savigneux,Centre local d'équipements et de services
01399,Ségny,Centre local d'équipements et de services
01400,Seillonnaz,Communes non centre
01401,Sergy,Communes non centre
01402,Sermoyer,Communes non centre
01403,Serrières-de-Briord,Centre local d'équipements et de services
01404,Serrières-sur-Ain,Communes non centre
01405,Servas,Centre local d'équipements et de services
01406,Servignat,Communes non centre
01407,Seyssel,Centre local d'équipements et de services
01408,Simandre-sur-Suran,Communes non centre
01410,Sonthonnax-la-Montagne,Communes non centre
01411,Souclin,Communes non centre
01412,Sulignat,Communes non centre
01415,Talissieu,Communes non centre
01416,Tenay,Centre local d'équipements et de services
01418,Thil,Communes non centre
01419,Thoiry,Centre intermédiaire d'équipements et de services
01420,Thoissey,Centre intermédiaire d'équipements et de services
01421,Torcieu,Communes non centre
01422,Tossiat,Centre local d'équipements et de services
01423,Toussieux,Communes non centre
01424,Tramoyes,Centre local d'équipements et de services
01425,La Tranclière,Communes non centre
01426,Val-Revermont,Centre local d'équipements et de services
01427,Trévoux,Centre intermédiaire d'équipements et de services
01428,Valeins,Communes non centre
01429,Vandeins,Communes non centre
01430,Varambon,Communes non centre
01431,Vaux-en-Bugey,Centre local d'équipements et de services
01432,Verjon,Communes non centre
01433,Vernoux,Communes non centre
01434,Versailleux,Communes non centre
01435,Versonnex,Centre local d'équipements et de services
01436,Vesancy,Communes non centre
01437,Vescours,Communes non centre
01439,Vésines,Communes non centre
01441,Vieu-d'Izenave,Communes non centre
01443,Villars-les-Dombes,Centre intermédiaire d'équipements et de services
01444,Villebois,Centre local d'équipements et de services
01445,Villemotier,Communes non centre
01446,Villeneuve,Centre local d'équipements et de services
01447,Villereversure,Centre local d'équipements et de services
01448,Villes,Communes non centre
01449,Villette-sur-Ain,Communes non centre
01450,Villieu-Loyes-Mollon,Centre local d'équipements et de services
01451,Viriat,Centre intermédiaire d'équipements et de services
01452,Virieu-le-Grand,Centre local d'équipements et de services
01453,Arvière-en-Valromey,Communes non centre
01454,Virignin,Communes non centre
01456,Vongnes,Communes non centre
01457,Vonnas,Centre intermédiaire d'équipements et de services
02001,Abbécourt,Communes non centre
02002,Achery,Communes non centre
02003,Acy,Communes non centre
02004,Agnicourt-et-Séchelles,Communes non centre
02005,Aguilcourt,Communes non centre
02006,Aisonville-et-Bernoville,Communes non centre
02007,Aizelles,Communes non centre
02008,Aizy-Jouy,Communes non centre
02009,Alaincourt,Communes non centre
02010,Allemant,Communes non centre
02011,Ambleny,Centre local d'équipements et de services
02012,Ambrief,Communes non centre
02013,Amifontaine,Communes non centre
02014,Amigny-Rouy,Communes non centre
02015,Ancienville,Communes non centre
02016,Andelain,Communes non centre
